query	lat	lon	lat_min	lat_max	lon_min	lon_max
Union County NJ	40.6652251	-74.3045277	40.591903	40.739334	-74.463348	-74.1377655
Dane County	43.0709273	-89.4322174	42.845149	43.2941633	-89.8385684	-89.0088273
New York City	40.7127281	-74.0060152	40.477399	40.9161785	-74.25909	-73.7001809
Dane County	43.0709273	-89.4322174	42.845149	43.2941633	-89.8385684	-89.0088273
Schenectady County	42.831851	-74.0445387688218	42.710827	42.955695	-74.3065557	-73.809365
Fayette County IA	42.8420766	-91.850265	42.6418253	43.082619	-92.08197	-91.604019
Winneshiek County	43.2677179	-91.8563139	43.0816	43.500804	-92.081841	-91.601936
St. Louis MO	38.6529545	-90.2411165602464	38.5323215	38.7743396	-90.3206525	-90.1641941
Southwest Alaska	64.4459613	-149.680909	51.0228712	71.6048217	-180	180
New York City	40.7127281	-74.0060152	40.477399	40.9161785	-74.25909	-73.7001809
Westchester County	41.1763139	-73.7907554	40.871721	41.366375	-73.983284	-73.482695
New York City	40.7127281	-74.0060152	40.477399	40.9161785	-74.25909	-73.7001809
Multnomah County	45.5093799	-122.4006413	44.8093799	46.2093799	-123.1006413	-121.7006413
New Haven County	41.4082	-72.9330283	41.1693202	41.6443314	-73.3272585	-72.5359429
Perry County IL	38.0772859	-89.3760499	37.951385	38.220348	-89.595818	-89.1185187
Caborca	30.8974875	-112.608001143894	30.060218	31.7351058	-113.1271669	-112.067666
New Haven County	41.4082	-72.9330283	41.1693202	41.6443314	-73.3272585	-72.5359429
Hudson County	40.7381635	-74.0550731	40.642149	40.823569	-74.166087	-73.984883
New Castle County	39.6159851	-75.662956	39.2902319	39.8394337	-75.7890403	-75.4052809
Bergen County	40.9678345	-74.0563254	40.762114	41.133995	-74.272484	-73.8940326
Georgetown County	33.4392245	-79.3343041	33.0946386	33.780167	-79.681114	-78.9848189
Trumbull	41.2428742	-73.2006687	41.2205313	41.2991435	-73.275248	-73.140531
La Crosse County	43.8890516	-91.0902393	43.725307	44.0907285	-91.425188	-90.9099984
McHenry County	42.3294391	-88.4605713	42.1535592	42.4950734	-88.7059813	-88.1966569
Washington County OR	45.56614365	-122.857533935248	45.5659174	45.5663925	-122.8578099	-122.8572546
Washington County OR	45.56614365	-122.857533935248	45.5659174	45.5663925	-122.8578099	-122.8572546
Washington County OR	45.56614365	-122.857533935248	45.5659174	45.5663925	-122.8578099	-122.8572546
Chicago	41.8755616	-87.6244212	41.644531	42.0230396	-87.940101	-87.5240812
Allegheny County	40.4597204	-79.9760405	40.194343	40.674935	-80.360873	-79.688761
Bergen County	40.9678345	-74.0563254	40.762114	41.133995	-74.272484	-73.8940326
Caddo Parish	32.529173	-93.8931785	32.195728	33.019372	-94.0431869	-93.471283
Cook County	41.8197385	-87.756525	41.4697052	42.1542933	-88.2636451	-87.110525
Allegheny County	40.4597204	-79.9760405	40.194343	40.674935	-80.360873	-79.688761
Madera County	37.1716264	-119.7737991	36.7629085	37.7782353	-120.5453556	-119.0231339
Honolulu County	21.468151	-157.960511	21.2160765	28.517269	-178.443593	-157.6158857
Allamakee County	43.2961731	-91.3961856	43.0797806	43.500993	-91.609489	-91.05791
Allamakee County	43.2961731	-91.3961856	43.0797806	43.500993	-91.609489	-91.05791
Houston	29.7589382	-95.3676974	29.5370705	30.1103506	-95.9097419	-95.0120525
La Cruz	11.0090665	-85.5506962685735	10.7982049	11.2195684	-85.9788778	-85.2302074
La Cruz	11.0090665	-85.5506962685735	10.7982049	11.2195684	-85.9788778	-85.2302074
Santa Clara County	37.2333253	-121.6846349	36.8931127	37.4846245	-122.2025817	-121.2082946
Washington County OR	45.56614365	-122.857533935248	45.5659174	45.5663925	-122.8578099	-122.8572546
Ouachita Parish	32.4790511	-92.1615004	32.263077	32.722961	-92.415543	-91.90699
Richland County SC	34.0190006	-80.9176832	33.7432323	34.268642	-81.345314	-80.599297
Aserri	9.74670635	-84.1235962355571	9.6173522	9.8757489	-84.22533	-84.0600877
Alajuela	10.4624947	-84.4674980076129	9.8389765	11.084402	-85.4491505	-84.1611432
San Pablo CR	37.9675052	-122.3646384	37.962409	37.9756794	-122.3831115	-122.3456488
La Suiza	46.7985624	8.2319736	45.817995	47.8084648	5.9559113	10.4922941
San Antonio	29.4246002	-98.4951405	29.1862572	29.7309623	-98.8131865	-98.2230029
San Francisco de Dos Rios	9.9084178	-84.0594842	9.9003249	9.9162617	-84.0692093	-84.0471335
San Jose	37.3361905	-121.890583	37.124503	37.4692175	-122.045672	-121.589153
Buenos Aires	-34.6075682	-58.4370894	-34.705637	-34.5265535	-58.5314494	-58.3351423
San Francisco de Dos Rios	9.9084178	-84.0594842	9.9003249	9.9162617	-84.0692093	-84.0471335
Buenos Aires	-34.6075682	-58.4370894	-34.705637	-34.5265535	-58.5314494	-58.3351423
Ponce	18.011564	-66.613958	17.9612656	18.1723214	-66.699116	-66.5304188
Westchester County	41.1763139	-73.7907554	40.871721	41.366375	-73.983284	-73.482695
Houston	29.7589382	-95.3676974	29.5370705	30.1103506	-95.9097419	-95.0120525
Cameron County	26.1291189	-97.4134281	25.83706	26.4142272	-97.86234	-97.0765211
Dane County	43.0709273	-89.4322174	42.845149	43.2941633	-89.8385684	-89.0088273
New York City	40.7127281	-74.0060152	40.477399	40.9161785	-74.25909	-73.7001809
Manhattan	40.7896239	-73.9598939	40.6839411	40.8804489	-74.0472219	-73.9061585
Pima County	32.1112624	-111.6546163	31.4254941	32.514423	-113.333992	-110.4473185
Bossier Parish	32.6676663	-93.5959786	32.235832	33.0194557	-93.843933	-93.372925
Bossier Parish	32.6676663	-93.5959786	32.235832	33.0194557	-93.843933	-93.372925
Bossier Parish	32.6676663	-93.5959786	32.235832	33.0194557	-93.843933	-93.372925
Pittsburgh	40.4416941	-79.9900861	40.36152	40.5012021	-80.095517	-79.865728
Fayette County IA	42.8420766	-91.850265	42.6418253	43.082619	-92.08197	-91.604019
Allegheny County	40.4597204	-79.9760405	40.194343	40.674935	-80.360873	-79.688761
Toronto	43.6534817	-79.3839347	43.5802533	43.8554425	-79.6392727	-79.1132193
Dane County	43.0709273	-89.4322174	42.845149	43.2941633	-89.8385684	-89.0088273
Kanawha	42.9376255	-93.7929922	42.9232929	42.9451516	-93.8129487	-93.7735048
Toronto	43.6534817	-79.3839347	43.5802533	43.8554425	-79.6392727	-79.1132193
Allegheny County	40.4597204	-79.9760405	40.194343	40.674935	-80.360873	-79.688761
East Baton Rouge Parish	30.5254797	-91.0899217	30.31271	30.7192468	-91.316381	-90.8441223
Kent County	33.1665316	-100.7846477	32.962932	33.3990719	-101.0388436	-100.517449
Bozeman	45.6794293	-111.044047	45.6347914	45.7333851	-111.119796	-110.984237
Kent County	33.1665316	-100.7846477	32.962932	33.3990719	-101.0388436	-100.517449
Dane County	43.0709273	-89.4322174	42.845149	43.2941633	-89.8385684	-89.0088273
Winona County	43.9582272	-91.7807784	43.8468753	44.1932904	-92.0793558	-91.2838718
Orange County NY	41.3873306	-74.2507287	41.1429929	41.6300597	-74.762623	-73.947294
Toronto	43.6534817	-79.3839347	43.5802533	43.8554425	-79.6392727	-79.1132193
Allegheny County	40.4597204	-79.9760405	40.194343	40.674935	-80.360873	-79.688761
West Yellowstone	44.6642902	-111.10513722509	44.654825	44.672979	-111.113433	-111.097025
Anchorage	61.2163129	-149.894852	61.0563129	61.3763129	-150.054852	-149.734852
Cozumel	20.4320599	-86.9206905837727	20.2720013	20.5919986	-87.0251995	-86.7232847
Richland County SC	34.0190006	-80.9176832	33.7432323	34.268642	-81.345314	-80.599297
St. Louis MO	38.6529545	-90.2411165602464	38.5323215	38.7743396	-90.3206525	-90.1641941
Etowah County	34.0371404	-86.022147	33.841797	34.2008438	-86.370041	-85.737183
New Castle County	39.6159851	-75.662956	39.2902319	39.8394337	-75.7890403	-75.4052809
Bienville Parish	32.3231432	-93.0761115	32.1471396	32.58625	-93.430206	-92.773254
Chicago	41.8755616	-87.6244212	41.644531	42.0230396	-87.940101	-87.5240812
Bureau County	41.4016294	-89.5341179	41.1486404	41.586723	-89.861053	-89.164948
Coto Brus	8.8892463	-82.9189842729849	8.6886921	9.0892585	-83.1067049	-82.7117819
Corredor	-3.7357783	-40.873577	-3.7557783	-3.7157783	-40.893577	-40.853577
Allegheny County	40.4597204	-79.9760405	40.194343	40.674935	-80.360873	-79.688761
Lake County CA	39.0505411	-122.7776556	38.6676515	39.5815189	-123.0941684	-122.3398198
King County	33.588178	-100.2178972	33.3969915	33.8359922	-100.5186409	-99.9909488
Santa Clara County	37.2333253	-121.6846349	36.8931127	37.4846245	-122.2025817	-121.2082946
Grays Harbor County	47.1744169	-123.8658829	46.790956	47.5340066	-124.4781769	-123.1620347
King County	33.588178	-100.2178972	33.3969915	33.8359922	-100.5186409	-99.9909488
Sussex County	36.9096897	-77.2741121	36.707642	37.1139679	-77.6197328	-76.9535356
Howard County	32.3047833	-101.4271085	32.0869242	32.5251645	-101.6950615	-101.1744904
Winona County	43.9582272	-91.7807784	43.8468753	44.1932904	-92.0793558	-91.2838718
Multnomah County	45.5093799	-122.4006413	44.8093799	46.2093799	-123.1006413	-121.7006413
Coconino County	35.9363252	-111.6948197	34.2582774	37.0030293	-113.354176	-110.7506454
Tijuana	32.5010188	-116.9646629	32.3410188	32.6610188	-117.1246629	-116.8046629
Tijuana	32.5010188	-116.9646629	32.3410188	32.6610188	-117.1246629	-116.8046629
Lake County CA	39.0505411	-122.7776556	38.6676515	39.5815189	-123.0941684	-122.3398198
Santa Clara County	37.2333253	-121.6846349	36.8931127	37.4846245	-122.2025817	-121.2082946
New York City	40.7127281	-74.0060152	40.477399	40.9161785	-74.25909	-73.7001809
Santo Domingo CR	40.1601526	-76.298009	40.1579653	40.1619257	-76.3005813	-76.2959437
Multnomah County	45.5093799	-122.4006413	44.8093799	46.2093799	-123.1006413	-121.7006413
Milwaukee County	43.0180325	-87.5807546062858	42.8420684	43.1925791	-88.0699027	-87.069419
Interior Alaska	61.2222765	-149.85784875	61.222165	61.222388	-149.858363	-149.857335
Orange County CA	33.7500378	-117.8704931	33.3336696	33.9476346	-118.1527575	-117.4136102
Sawyer County	45.8731634	-91.1468287	45.63776	46.157908	-91.551805	-90.676968
Matanuska-Susitna Valley	62.3402481	-149.4793288	61.07796	63.482913	-153.005115	-146.42522
Pierce County WA	47.0022547	-122.2117983	46.7287986	47.4038582	-122.8529952	-121.374367
Alameda County	37.6090291	-121.899142	37.4539501	37.9066896	-122.373843	-121.4690903
Pima County	32.1112624	-111.6546163	31.4254941	32.514423	-113.333992	-110.4473185
Coconino County	35.9363252	-111.6948197	34.2582774	37.0030293	-113.354176	-110.7506454
Tijuana	32.5010188	-116.9646629	32.3410188	32.6610188	-117.1246629	-116.8046629
Tijuana	32.5010188	-116.9646629	32.3410188	32.6610188	-117.1246629	-116.8046629
Kent County	33.1665316	-100.7846477	32.962932	33.3990719	-101.0388436	-100.517449
Tijuana	32.5010188	-116.9646629	32.3410188	32.6610188	-117.1246629	-116.8046629
Matanuska-Susitna Valley	62.3402481	-149.4793288	61.07796	63.482913	-153.005115	-146.42522
Ottawa	45.421106	-75.690308	45.261106	45.581106	-75.850308	-75.530308
Elkhart County	41.6012796	-85.8590603	41.435393	41.760513	-86.062575	-85.6535264
Yuma	32.665135	-114.476031572498	32.652402	32.726216	-114.6590405	-114.466075
Tijuana	32.5010188	-116.9646629	32.3410188	32.6610188	-117.1246629	-116.8046629
Lake County IL	42.3327033	-87.9939552	42.1517825	42.4956322	-88.1995433	-87.0199244
Fayette County IA	42.8420766	-91.850265	42.6418253	43.082619	-92.08197	-91.604019
Johnson County IA	41.6861834	-91.6061124	41.422211	41.8620363	-91.83374	-91.3658861
Houston	29.7589382	-95.3676974	29.5370705	30.1103506	-95.9097419	-95.0120525
Houston	29.7589382	-95.3676974	29.5370705	30.1103506	-95.9097419	-95.0120525
Sabine Parish	31.5223049	-93.5265161	31.165581	31.845555	-93.8822552	-93.236145
New Orleans	29.9499323	-90.0701156	29.8654809	30.1994687	-90.14003	-89.6251763
Saint Louis County	38.6398744	-90.5188127750124	38.3864132	38.8921602	-90.7362242	-90.117707
Interior Alaska	61.2222765	-149.85784875	61.222165	61.222388	-149.858363	-149.857335
Bozeman	45.6794293	-111.044047	45.6347914	45.7333851	-111.119796	-110.984237
Multnomah County	45.5093799	-122.4006413	44.8093799	46.2093799	-123.1006413	-121.7006413
Clark County WA	45.7669047	-122.4940866	45.5437226	46.0597239	-122.7962496	-122.2445313
New Orleans	29.9499323	-90.0701156	29.8654809	30.1994687	-90.14003	-89.6251763
Omaha	41.2587459	-95.9383758	41.1905882	41.3930618	-96.2682	-95.871141
Multnomah County	45.5093799	-122.4006413	44.8093799	46.2093799	-123.1006413	-121.7006413
Multnomah County	45.5093799	-122.4006413	44.8093799	46.2093799	-123.1006413	-121.7006413
Washington County OR	45.56614365	-122.857533935248	45.5659174	45.5663925	-122.8578099	-122.8572546
Pima County	32.1112624	-111.6546163	31.4254941	32.514423	-113.333992	-110.4473185
Caddo Parish	32.529173	-93.8931785	32.195728	33.019372	-94.0431869	-93.471283
King County	33.588178	-100.2178972	33.3969915	33.8359922	-100.5186409	-99.9909488
Caddo Parish	32.529173	-93.8931785	32.195728	33.019372	-94.0431869	-93.471283
New Orleans	29.9499323	-90.0701156	29.8654809	30.1994687	-90.14003	-89.6251763
Caddo Parish	32.529173	-93.8931785	32.195728	33.019372	-94.0431869	-93.471283
Kitsap County	47.594502	-122.6474421	47.4025419	47.9695821	-123.0321544	-122.432
Natchitoches Parish	31.6464192	-93.1427138	31.3466556	32.148773	-93.441803	-92.7188188
Matanuska-Susitna Valley	62.3402481	-149.4793288	61.07796	63.482913	-153.005115	-146.42522
New Castle County	39.6159851	-75.662956	39.2902319	39.8394337	-75.7890403	-75.4052809
Southwest Alaska	64.4459613	-149.680909	51.0228712	71.6048217	-180	180
Caddo Parish	32.529173	-93.8931785	32.195728	33.019372	-94.0431869	-93.471283
Bossier Parish	32.6676663	-93.5959786	32.235832	33.0194557	-93.843933	-93.372925
Johnson County IA	41.6861834	-91.6061124	41.422211	41.8620363	-91.83374	-91.3658861
Cook County	41.8197385	-87.756525	41.4697052	42.1542933	-88.2636451	-87.110525
Grant County WI	42.8855277	-90.6991696	42.507222	43.211629	-91.1568119	-90.4257582
New Castle County	39.6159851	-75.662956	39.2902319	39.8394337	-75.7890403	-75.4052809
Belgrade	44.8178131	20.4568974	44.6880459	44.9426876	20.2213764	20.6233741
Columbia County OR	45.9280203	-123.082293	45.721253	46.188973	-123.3674383	-122.7606605
Santa Clara County	37.2333253	-121.6846349	36.8931127	37.4846245	-122.2025817	-121.2082946
Multnomah County	45.5093799	-122.4006413	44.8093799	46.2093799	-123.1006413	-121.7006413
Multnomah County	45.5093799	-122.4006413	44.8093799	46.2093799	-123.1006413	-121.7006413
Multnomah County	45.5093799	-122.4006413	44.8093799	46.2093799	-123.1006413	-121.7006413
Multnomah County	45.5093799	-122.4006413	44.8093799	46.2093799	-123.1006413	-121.7006413
Honolulu County	21.468151	-157.960511	21.2160765	28.517269	-178.443593	-157.6158857
Honolulu County	21.468151	-157.960511	21.2160765	28.517269	-178.443593	-157.6158857
King County	33.588178	-100.2178972	33.3969915	33.8359922	-100.5186409	-99.9909488
King County	33.588178	-100.2178972	33.3969915	33.8359922	-100.5186409	-99.9909488
King County	33.588178	-100.2178972	33.3969915	33.8359922	-100.5186409	-99.9909488
Pierce County WA	47.0022547	-122.2117983	46.7287986	47.4038582	-122.8529952	-121.374367
Clallam County	47.9998383	-123.7373472	47.8666842	48.4934444	-124.8360916	-122.8971575
Clark County WA	45.7669047	-122.4940866	45.5437226	46.0597239	-122.7962496	-122.2445313
Washington County OR	45.56614365	-122.857533935248	45.5659174	45.5663925	-122.8578099	-122.8572546
Spokane County	47.5354964	-117.4074674	47.259272	48.0478201	-117.823695	-117.0396807
Washington County OR	45.56614365	-122.857533935248	45.5659174	45.5663925	-122.8578099	-122.8572546
Matanuska-Susitna Valley	62.3402481	-149.4793288	61.07796	63.482913	-153.005115	-146.42522
Multnomah County	45.5093799	-122.4006413	44.8093799	46.2093799	-123.1006413	-121.7006413
Madera County	37.1716264	-119.7737991	36.7629085	37.7782353	-120.5453556	-119.0231339
King County	33.588178	-100.2178972	33.3969915	33.8359922	-100.5186409	-99.9909488
Multnomah County	45.5093799	-122.4006413	44.8093799	46.2093799	-123.1006413	-121.7006413
Maricopa County	33.34883	-112.49123	32.5049739	34.0481432	-113.333755	-111.0399049
Matanuska-Susitna Valley	62.3402481	-149.4793288	61.07796	63.482913	-153.005115	-146.42522
Caddo Parish	32.529173	-93.8931785	32.195728	33.019372	-94.0431869	-93.471283
Boone County	42.321246	-88.8235511	42.1523286	42.4950185	-88.94059	-88.7040913
Interior Alaska	61.2222765	-149.85784875	61.222165	61.222388	-149.858363	-149.857335
Washington County OR	45.56614365	-122.857533935248	45.5659174	45.5663925	-122.8578099	-122.8572546
Multnomah County	45.5093799	-122.4006413	44.8093799	46.2093799	-123.1006413	-121.7006413
Washington County OR	45.56614365	-122.857533935248	45.5659174	45.5663925	-122.8578099	-122.8572546
Houston	29.7589382	-95.3676974	29.5370705	30.1103506	-95.9097419	-95.0120525
Honolulu County	21.468151	-157.960511	21.2160765	28.517269	-178.443593	-157.6158857
Rock County	43.6733632	-96.2574328	43.5000913	43.8494878	-96.453408	-96.0525649
Caddo Parish	32.529173	-93.8931785	32.195728	33.019372	-94.0431869	-93.471283
Houston	29.7589382	-95.3676974	29.5370705	30.1103506	-95.9097419	-95.0120525
Houston	29.7589382	-95.3676974	29.5370705	30.1103506	-95.9097419	-95.0120525
Honolulu County	21.468151	-157.960511	21.2160765	28.517269	-178.443593	-157.6158857
Navajo County	35.1819775	-110.3549451	33.5672166	37.00426	-110.7507551	-109.8269531
King County	33.588178	-100.2178972	33.3969915	33.8359922	-100.5186409	-99.9909488
Dane County	43.0709273	-89.4322174	42.845149	43.2941633	-89.8385684	-89.0088273
Houston	29.7589382	-95.3676974	29.5370705	30.1103506	-95.9097419	-95.0120525
Caddo Parish	32.529173	-93.8931785	32.195728	33.019372	-94.0431869	-93.471283
Houston	29.7589382	-95.3676974	29.5370705	30.1103506	-95.9097419	-95.0120525
Houston	29.7589382	-95.3676974	29.5370705	30.1103506	-95.9097419	-95.0120525
Yakima County	46.4135961	-120.730253	46.040098	47.0891105	-121.523938	-119.8654244
Southwest Alaska	64.4459613	-149.680909	51.0228712	71.6048217	-180	180
Houston	29.7589382	-95.3676974	29.5370705	30.1103506	-95.9097419	-95.0120525
Matanuska-Susitna Valley	62.3402481	-149.4793288	61.07796	63.482913	-153.005115	-146.42522
Green County	37.2433976	-85.5346302	37.109348	37.471046	-85.69725	-85.353226
Caddo Parish	32.529173	-93.8931785	32.195728	33.019372	-94.0431869	-93.471283
Madison County AL	34.7736807	-86.5675095	34.476662	34.99207	-86.7900926	-86.258301
Williamson County TX	30.6580927	-97.6041649	30.4028139	30.910808	-98.0500423	-97.1551988
Kent County	33.1665316	-100.7846477	32.962932	33.3990719	-101.0388436	-100.517449
Santa Clara County	37.2333253	-121.6846349	36.8931127	37.4846245	-122.2025817	-121.2082946
King County	33.588178	-100.2178972	33.3969915	33.8359922	-100.5186409	-99.9909488
Pierce County WA	47.0022547	-122.2117983	46.7287986	47.4038582	-122.8529952	-121.374367
Clark County WA	45.7669047	-122.4940866	45.5437226	46.0597239	-122.7962496	-122.2445313
Clackamas County	45.1608821	-122.2305038	44.4608821	45.8608821	-122.9305038	-121.5305038
Clark County WA	45.7669047	-122.4940866	45.5437226	46.0597239	-122.7962496	-122.2445313
Caddo Parish	32.529173	-93.8931785	32.195728	33.019372	-94.0431869	-93.471283
Bossier Parish	32.6676663	-93.5959786	32.235832	33.0194557	-93.843933	-93.372925
Bossier Parish	32.6676663	-93.5959786	32.235832	33.0194557	-93.843933	-93.372925
Bossier Parish	32.6676663	-93.5959786	32.235832	33.0194557	-93.843933	-93.372925
Bossier Parish	32.6676663	-93.5959786	32.235832	33.0194557	-93.843933	-93.372925
Sussex County	36.9096897	-77.2741121	36.707642	37.1139679	-77.6197328	-76.9535356
Matanuska-Susitna Valley	62.3402481	-149.4793288	61.07796	63.482913	-153.005115	-146.42522
Cook County	41.8197385	-87.756525	41.4697052	42.1542933	-88.2636451	-87.110525
Jefferson County AL	33.5228184	-86.9164513	33.246258	33.843407	-87.342476	-86.51651
Washburn County	45.8926321	-91.7971652	45.63776	46.1578686	-92.051025	-91.540103
Cook County	41.8197385	-87.756525	41.4697052	42.1542933	-88.2636451	-87.110525
Frederick County	39.2127031	-78.279166	39.0079939	39.466012	-78.544137	-78.0329703
Houston County AL	31.1355603	-85.2654592	30.9970734	31.315205	-85.714287	-84.9991393
Houston County AL	31.1355603	-85.2654592	30.9970734	31.315205	-85.714287	-84.9991393
Sussex County	36.9096897	-77.2741121	36.707642	37.1139679	-77.6197328	-76.9535356
Sussex County	36.9096897	-77.2741121	36.707642	37.1139679	-77.6197328	-76.9535356
Coffee County	31.5301809	-82.8405691	31.363447	31.8125068	-83.151184	-82.596413
Allegheny County	40.4597204	-79.9760405	40.194343	40.674935	-80.360873	-79.688761
Allegheny County	40.4597204	-79.9760405	40.194343	40.674935	-80.360873	-79.688761
Allegheny County	40.4597204	-79.9760405	40.194343	40.674935	-80.360873	-79.688761
Dallas County TX	32.7620405	-96.7790069	32.5453486	32.9899027	-97.0383833	-96.5168819
Georgetown County	33.4392245	-79.3343041	33.0946386	33.780167	-79.681114	-78.9848189
Honolulu County	21.468151	-157.960511	21.2160765	28.517269	-178.443593	-157.6158857
Tippecanoe County	40.3916066	-86.8879689	40.214355	40.5630784	-87.0953948	-86.694351
Caddo Parish	32.529173	-93.8931785	32.195728	33.019372	-94.0431869	-93.471283
Milwaukee County	43.0180325	-87.5807546062858	42.8420684	43.1925791	-88.0699027	-87.069419
Camden County	30.9298212	-81.6225075	30.7085312	31.169595	-81.936988	-81.304353
Madison County AL	34.7736807	-86.5675095	34.476662	34.99207	-86.7900926	-86.258301
Winneshiek County	43.2677179	-91.8563139	43.0816	43.500804	-92.081841	-91.601936
Winneshiek County	43.2677179	-91.8563139	43.0816	43.500804	-92.081841	-91.601936
Sussex County	36.9096897	-77.2741121	36.707642	37.1139679	-77.6197328	-76.9535356
San Diego	32.7174202	-117.1627728	32.5347726	33.114249	-117.3098053	-116.9057226
Caddo Parish	32.529173	-93.8931785	32.195728	33.019372	-94.0431869	-93.471283
Washington County OR	45.56614365	-122.857533935248	45.5659174	45.5663925	-122.8578099	-122.8572546
Allegheny County	40.4597204	-79.9760405	40.194343	40.674935	-80.360873	-79.688761
Franklin County OH	40.0283162	-83.0076657	39.7949128	40.1428004	-83.2607262	-82.7618137
Multnomah County	45.5093799	-122.4006413	44.8093799	46.2093799	-123.1006413	-121.7006413
Clay County	33.6856157	-98.2123296	33.4662349	34.157109	-98.423367	-97.947001
New Castle County	39.6159851	-75.662956	39.2902319	39.8394337	-75.7890403	-75.4052809
Kent County	33.1665316	-100.7846477	32.962932	33.3990719	-101.0388436	-100.517449
Kent County	33.1665316	-100.7846477	32.962932	33.3990719	-101.0388436	-100.517449
Cook County	41.8197385	-87.756525	41.4697052	42.1542933	-88.2636451	-87.110525
St. Clair County AL	38.4616972	-89.9324347	38.220215	38.6604675	-90.26519	-89.705116
Limestone County AL	34.8342463	-86.9901321	34.5507833	34.9990092	-87.2809052	-86.7835913
Montgomery County AL	32.1672192	-86.1999118	31.964949	32.5017263	-86.4985304	-85.931296
Tippecanoe County	40.3916066	-86.8879689	40.214355	40.5630784	-87.0953948	-86.694351
Monroe County WI	43.9416755	-90.6397264	43.725264	44.1610498	-90.9784245	-90.3114815
New Castle County	39.6159851	-75.662956	39.2902319	39.8394337	-75.7890403	-75.4052809
Santa Clara County	37.2333253	-121.6846349	36.8931127	37.4846245	-122.2025817	-121.2082946
Southwest Alaska	64.4459613	-149.680909	51.0228712	71.6048217	-180	180
Southwest Alaska	64.4459613	-149.680909	51.0228712	71.6048217	-180	180
Southwest Alaska	64.4459613	-149.680909	51.0228712	71.6048217	-180	180
Matanuska-Susitna Valley	62.3402481	-149.4793288	61.07796	63.482913	-153.005115	-146.42522
King County	33.588178	-100.2178972	33.3969915	33.8359922	-100.5186409	-99.9909488
Dane County	43.0709273	-89.4322174	42.845149	43.2941633	-89.8385684	-89.0088273
Jefferson County AL	33.5228184	-86.9164513	33.246258	33.843407	-87.342476	-86.51651
Chicago	41.8755616	-87.6244212	41.644531	42.0230396	-87.940101	-87.5240812
La Crosse County	43.8890516	-91.0902393	43.725307	44.0907285	-91.425188	-90.9099984
Milwaukee County	43.0180325	-87.5807546062858	42.8420684	43.1925791	-88.0699027	-87.069419
Dane County	43.0709273	-89.4322174	42.845149	43.2941633	-89.8385684	-89.0088273
Allamakee County	43.2961731	-91.3961856	43.0797806	43.500993	-91.609489	-91.05791
Allamakee County	43.2961731	-91.3961856	43.0797806	43.500993	-91.609489	-91.05791
Lafayette County	29.9978185	-83.2221527	29.820684	30.260676	-83.37089	-82.875284
Winona County	43.9582272	-91.7807784	43.8468753	44.1932904	-92.0793558	-91.2838718
